rho
8.653775790791320615e+05
8.266342167703057639e+05
6.808824481234453851e+05
5.785846568234229926e+05
4.709938061237727525e+05
3.572724317463355837e+05
2.509453708579172380e+05
1.743860880522324005e+05
1.159038254639105289e+05
7.444578298797165917e+04
7.623033367730298778e+04
7.888160259148906334e+04
8.134801803513788036e+04
8.590947367082655546e+04
8.692202414002768637e+04
8.702552205532127118e+04
8.610728159522368514e+04
8.381918429888361425e+04
7.806955952375315246e+04
6.825710593645060726e+04
