k, P_1h 
1.000000000000000056e-01,1.006761997222865972e+02
1.268961003167922152e-01,1.006636248815620434e+02
1.610262027560939169e-01,1.006433801999814932e+02
2.043359717856941815e-01,1.006107916039773755e+02
2.592943797404667072e-01,1.005583430170154031e+02
3.290344562312668697e-01,1.004739585394802077e+02
4.175318936560401539e-01,1.003382625679149101e+02
5.298316906283708771e-01,1.001202356497796586e+02
6.723357536499336984e-01,9.977039373671755129e+01
8.531678524172807698e-01,9.921025203965717765e+01
1.082636733874054569e+00,9.831649620241228149e+01
1.373823795883263088e+00,9.689835184101417553e+01
1.743328822199988082e+00,9.466818743454228979e+01
2.212216291070449259e+00,9.121097741199382369e+01
2.807216203941177213e+00,8.597301433750574517e+01
3.562247890262442152e+00,7.832096588340073140e+01
4.520353656360242667e+00,6.776549180912149950e+01
5.736152510448678576e+00,5.444139482560733256e+01
7.278953843983149596e+00,3.970852516177302505e+01
9.236708571873860407e+00,2.614396487551554316e+01
1.172102297533480630e+01,1.607150774081491207e+01
1.487352107293511772e+01,9.809968747170467296e+00
1.887391822135097641e+01,6.063044355124423745e+00
2.395026619987486072e+01,3.707316234819227674e+00
3.039195382313198124e+01,2.290920181620154761e+00
3.856620421163471946e+01,1.405276768897679052e+00
4.893900918477493889e+01,8.568639267749172950e-01
6.210169418915616291e+01,5.092905320188144680e-01
7.880462815669912402e+01,2.962987000631339130e-01
1.000000000000000000e+02,1.729322328305390455e-01
