k, P_1h 
1.000000000000000056e-01,3.523575189831176857e+01
1.268961003167922152e-01,3.523079077691818384e+01
1.610262027560939169e-01,3.522280398048165040e+01
2.043359717856941815e-01,3.520994809355057953e+01
2.592943797404667072e-01,3.518925956991159154e+01
3.290344562312668697e-01,3.515597884491523928e+01
4.175318936560401539e-01,3.510247416684946131e+01
5.298316906283708771e-01,3.501654011102743169e+01
6.723357536499336984e-01,3.487873850759848438e+01
8.531678524172807698e-01,3.465832306244556094e+01
1.082636733874054569e+00,3.430719982403068968e+01
1.373823795883263088e+00,3.375150732301159451e+01
1.743328822199988082e+00,3.288123964715991576e+01
2.212216291070449259e+00,3.154098272069522579e+01
2.807216203941177213e+00,2.953124607875196261e+01
3.562247890262442152e+00,2.664176206574421002e+01
4.520353656360242667e+00,2.275025176155018158e+01
5.736152510448678576e+00,1.800197885116148910e+01
7.278953843983149596e+00,1.297235238493575693e+01
9.236708571873860407e+00,8.535886516462788620e+00
1.172102297533480630e+01,5.325326676351769706e+00
1.487352107293511772e+01,3.320119719756007726e+00
1.887391822135097641e+01,2.082900818315972735e+00
2.395026619987486072e+01,1.290883296733175367e+00
3.039195382313198124e+01,8.087922763297030748e-01
3.856620421163471946e+01,4.957454895007202267e-01
4.893900918477493889e+01,2.913750469652865993e-01
6.210169418915616291e+01,1.709131196009205100e-01
7.880462815669912402e+01,9.586567300835846517e-02
1.000000000000000000e+02,5.575780960971850331e-02
