P_1h
3.522596609008813573e+01
3.521503658292409966e+01
3.519744472814329583e+01
3.516913670939757708e+01
3.512360384074484188e+01
3.505041464619399960e+01
3.493289888526630449e+01
3.474454101670812634e+01
3.444348674181115655e+01
3.396449325835699540e+01
3.320795744529688420e+01
3.202710941761451124e+01
3.021880242487705459e+01
2.753367148725370583e+01
2.374043548469800413e+01
1.879727964908872551e+01
1.314301869647585974e+01
7.884324438609874086e+00
4.259546276785413532e+00
2.341411345976414093e+00
1.269456780054516232e+00
7.212253627146503199e-01
3.964607171566637556e-01
1.854754366453460757e-01
8.665870224344866812e-02
4.241345829257671396e-02
1.832678867800573153e-02
1.075803125836676151e-02
5.377199212998011631e-03
4.517755677707623561e-03
