k, P_1h 
1.000000000000000056e-01,3.523586095764177628e+01
1.268961003167922152e-01,3.523096637592703928e+01
1.610262027560939169e-01,3.522308670177719137e+01
2.043359717856941815e-01,3.521040324749853312e+01
2.592943797404667072e-01,3.518999222413544459e+01
3.290344562312668697e-01,3.515715792884264346e+01
4.175318936560401539e-01,3.510437103557818972e+01
5.298316906283708771e-01,3.501958999490560132e+01
6.723357536499336984e-01,3.488363778886100874e+01
8.531678524172807698e-01,3.466618160995541587e+01
1.082636733874054569e+00,3.431977526184050475e+01
1.373823795883263088e+00,3.377155422204747026e+01
1.743328822199988082e+00,3.291300139737724351e+01
2.212216291070449259e+00,3.159081029879646962e+01
2.807216203941177213e+00,2.960818231376144993e+01
3.562247890262442152e+00,2.675755815717274899e+01
4.520353656360242667e+00,2.291753147974934990e+01
5.736152510448678576e+00,1.822828035939035374e+01
7.278953843983149596e+00,1.324817347032683656e+01
9.236708571873860407e+00,8.821469427440895572e+00
1.172102297533480630e+01,5.556857503163383782e+00
1.487352107293511772e+01,3.455242578676418930e+00
1.887391822135097641e+01,2.140111315429343186e+00
2.395026619987486072e+01,1.315679126805735955e+00
3.039195382313198124e+01,8.118321617770526410e-01
3.856620421163471946e+01,4.864129848148739388e-01
4.893900918477493889e+01,2.880932129149968435e-01
6.210169418915616291e+01,1.667102308640955599e-01
7.880462815669912402e+01,9.517917043210016859e-02
1.000000000000000000e+02,5.561119596703149870e-02
