k, P_1h 
1.000000000000000056e-01,2.034051179649078556e+00
1.268961003167922152e-01,2.033886963772643330e+00
1.610262027560939169e-01,2.033622569821472048e+00
2.043359717856941815e-01,2.033196921264943224e+00
2.592943797404667072e-01,2.032511761762606284e+00
3.290344562312668697e-01,2.031409113490957097e+00
4.175318936560401539e-01,2.029635213883824285e+00
5.298316906283708771e-01,2.026783051036401773e+00
6.723357536499336984e-01,2.022201395598460127e+00
8.531678524172807698e-01,2.014852342072421809e+00
1.082636733874054569e+00,2.003092205410407001e+00
1.373823795883263088e+00,1.984344813489856918e+00
1.743328822199988082e+00,1.954640736798992195e+00
2.212216291070449259e+00,1.908035079659476274e+00
2.807216203941177213e+00,1.836046198225999682e+00
3.562247890262442152e+00,1.727582045984441539e+00
4.520353656360242667e+00,1.570448165780138350e+00
5.736152510448678576e+00,1.356262540555105867e+00
7.278953843983149596e+00,1.090001036766251374e+00
9.236708571873860407e+00,8.000322855515323850e-01
1.172102297533480630e+01,5.344253871066089179e-01
1.487352107293511772e+01,3.337779335154702487e-01
1.887391822135097641e+01,2.048749413382505713e-01
2.395026619987486072e+01,1.249379535935795926e-01
3.039195382313198124e+01,7.187394010472834827e-02
3.856620421163471946e+01,3.915640205808658403e-02
4.893900918477493889e+01,2.107634055923712085e-02
6.210169418915616291e+01,1.089193928530485765e-02
7.880462815669912402e+01,5.457483303158744588e-03
1.000000000000000000e+02,2.713661922634358261e-03
