k, P_1h 
1.000000000000000056e-01,2.703061228739188593e+01
1.268961003167922152e-01,2.702541035522439472e+01
1.610262027560939169e-01,2.701703626590386875e+01
2.043359717856941815e-01,2.700355796834137934e+01
2.592943797404667072e-01,2.698187039306123580e+01
3.290344562312668697e-01,2.694698919892785582e+01
4.175318936560401539e-01,2.689092872739824003e+01
5.298316906283708771e-01,2.680093440024730711e+01
6.723357536499336984e-01,2.665673700206073704e+01
8.531678524172807698e-01,2.642638794659328738e+01
1.082636733874054569e+00,2.606020092256130738e+01
1.373823795883263088e+00,2.548260565613384188e+01
1.743328822199988082e+00,2.458291858456630763e+01
2.212216291070449259e+00,2.320944672762433214e+01
2.807216203941177213e+00,2.117902896616371677e+01
3.562247890262442152e+00,1.832688620343581931e+01
4.520353656360242667e+00,1.462945658634695079e+01
5.736152510448678576e+00,1.039311950171043364e+01
7.278953843983149596e+00,6.347194570809151060e+00
9.236708571873860407e+00,3.327210732269969995e+00
1.172102297533480630e+01,1.641442762654304444e+00
1.487352107293511772e+01,9.084123154009347001e-01
1.887391822135097641e+01,5.418012930095998936e-01
2.395026619987486072e+01,3.006459194545734182e-01
3.039195382313198124e+01,1.622469400039435738e-01
3.856620421163471946e+01,8.230313004189404591e-02
4.893900918477493889e+01,3.545152993482065390e-02
6.210169418915616291e+01,1.089687950693691426e-02
7.880462815669912402e+01,2.893631163610526410e-03
1.000000000000000000e+02,6.057390169879592117e-04
