model,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19
0.000000000000000000e+00,5.144401796842485783e+05,4.349686777158359764e+05,3.527803168569537229e+05,3.135954897049107240e+05,2.901388939653173438e+05,2.592465922085219645e+05,1.973900955828801380e+05,1.180150037717897358e+05,8.018866657556842256e+04,5.512493572183502692e+04,3.927619700851014932e+04,3.425976088714649086e+04,2.164108563646298353e+04,1.345701885952405428e+04,8.545425369298214719e+03,6.165791140430303130e+03,3.809384505236576388e+03,2.149143473131050996e+03,1.177244637248845493e+03,6.663738963823690256e+02
1.000000000000000000e+00,1.432250098057898576e+05,2.128536350103117002e+05,1.977288038588891504e+05,1.494170425562026212e+05,1.844426589302906359e+05,1.342109402738881472e+05,1.250023733190187631e+05,9.641260353919446061e+04,7.404562811376916943e+04,5.380701551433885470e+04,3.412160376298215124e+04,2.747044760832243628e+04,1.819969527317491884e+04,1.251227813272067579e+04,8.113813133766999272e+03,5.533252164921475924e+03,3.552175667705884734e+03,2.245456542631029606e+03,1.391587385799164622e+03,7.353751327296504314e+02
2.000000000000000000e+00,7.288367348671922227e+05,8.296988278522503097e+05,5.530935366911549354e+05,4.769223199826861382e+05,3.155898549286265625e+05,2.498937340949844220e+05,2.031880419355932099e+05,1.443282233309209987e+05,9.884392988341074670e+04,6.712360212176857749e+04,4.876176870077900094e+04,3.366906400541927724e+04,2.023401288029226998e+04,1.307853481217354783e+04,8.833309633811266394e+03,5.934980859424341361e+03,3.652438160424772832e+03,2.139613363633178778e+03,1.192290176039787866e+03,6.506282834776114896e+02
3.000000000000000000e+00,5.174942342170928896e+04,5.547677674294370809e+04,1.523159726265352801e+05,1.323738730957381485e+05,1.072694132538673584e+05,1.033852675219894300e+05,7.331546100635836774e+04,5.651553681417020562e+04,4.026688606999950571e+04,2.919067220516049565e+04,2.319874174380330805e+04,1.660061606214940548e+04,1.263239855852746041e+04,9.492128669996753160e+03,7.624747851091459779e+03,5.502938102967983468e+03,3.121708905956721082e+03,2.447887257200112799e+03,1.557014531154606175e+03,8.947225260516868275e+02
4.000000000000000000e+00,6.256321561929193558e+04,6.579916438044229290e+04,1.185914133255752822e+05,1.073653627822084673e+05,9.521114803516778920e+04,8.522322980301635107e+04,6.356779162527941662e+04,5.496151090991296223e+04,3.997761415543722978e+04,2.701430257961703683e+04,2.413137253644675002e+04,1.801175163786175108e+04,1.351501001820388956e+04,1.065017646327292459e+04,8.037657435949293358e+03,5.302686216919158142e+03,3.196818979899905116e+03,2.361910938100107614e+03,1.553599580518894527e+03,8.798760312522524600e+02
5.000000000000000000e+00,1.977447287523850682e+05,1.482840668608591950e+05,2.427521041095106048e+05,2.006011078590276011e+05,2.035868794199487602e+05,1.611141841144170612e+05,1.417173907470876002e+05,1.103122042890364246e+05,7.653284460984755424e+04,5.642619521407187858e+04,3.898051232581411750e+04,2.840063090477334481e+04,1.801059906070354918e+04,1.186902400161064725e+04,7.892521002629273426e+03,5.435262855843561738e+03,3.613938816950399087e+03,2.245365965579605017e+03,1.381378107029720013e+03,7.310607276877054801e+02
