model,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19
0.000000000000000000e+00,5.285913217673193663e+06,4.162691997031244449e+06,3.421228223089043982e+06,2.588300409877693281e+06,1.868748310268924106e+06,1.292310292069950607e+06,9.229725485295136459e+05,6.257764510684843408e+05,4.281331590840758290e+05,2.873635804967659060e+05,1.877889242784392263e+05,1.195521038754485926e+05,7.267364040708291577e+04,4.295874513013091928e+04,2.669448108579213658e+04,1.724399828777770745e+04,1.045268117013549454e+04,6.268155495192784656e+03,2.938180370289407620e+03,1.691328291180581573e+03
1.000000000000000000e+00,4.748356934452920221e+06,4.038172157197163906e+06,3.127668898938838392e+06,2.353067798799318727e+06,1.724661675337830093e+06,1.189442836853438057e+06,8.651307045090395259e+05,6.020998960333549185e+05,3.999910213999598054e+05,2.677679270632116823e+05,1.803314385111699230e+05,1.183947983149693464e+05,7.371915530122180644e+04,4.628389326451466331e+04,2.882496196622771822e+04,1.740950111514475429e+04,1.045208782227451411e+04,6.380132287874287613e+03,3.004164475418765505e+03,1.580408048506161322e+03
2.000000000000000000e+00,5.818629582839871757e+06,4.495296741184537299e+06,3.425010054801465943e+06,2.454145147290355060e+06,1.828875485690462636e+06,1.322130923812285066e+06,9.080020413158775773e+05,6.388148820449974155e+05,4.380509542868458084e+05,2.821099206974270637e+05,1.893349306644710305e+05,1.266734337360374047e+05,8.127361844869652123e+04,5.085484192579349474e+04,2.888544376528542853e+04,1.665836476262649740e+04,9.879238501954998355e+03,5.804780639059417808e+03,3.028021069682107282e+03,1.575881101641861278e+03
3.000000000000000000e+00,4.652768722717281431e+06,4.107748261900415644e+06,2.739856477772531565e+06,2.022173657930246321e+06,1.608154862943843240e+06,1.117766889366434654e+06,8.014063831097714137e+05,5.992507284765380900e+05,4.052443016473439639e+05,2.708512044065406662e+05,1.843850634109246894e+05,1.227773696999755193e+05,7.861368414311466040e+04,5.018360144104956271e+04,3.046430122590819519e+04,1.784177127129728979e+04,1.018789247359777437e+04,5.559629927672754093e+03,3.370634657232081736e+03,1.452580560178812220e+03
4.000000000000000000e+00,5.331158477773539722e+06,4.321160734080422670e+06,3.166565627540945075e+06,2.302240933870190289e+06,1.726529278484083712e+06,1.232737275175266201e+06,8.533042301503858762e+05,6.204765109368545236e+05,4.100859038868331118e+05,2.732184373647990869e+05,1.867469452167681011e+05,1.203151083077991934e+05,7.691883750452291861e+04,4.662689139785145380e+04,2.798601508765706603e+04,1.757143985851777688e+04,1.067398069483992913e+04,5.954046017346974622e+03,3.374312289578235777e+03,1.418754319087492604e+03
5.000000000000000000e+00,5.882292248232117854e+06,4.409634427042244002e+06,3.283064197509409394e+06,2.479547652505851351e+06,1.837979883652564837e+06,1.350308858446867205e+06,9.173717357015105663e+05,6.564711338823371334e+05,4.422748222760534263e+05,2.836753974509498803e+05,1.756760479677559051e+05,1.147712704996257526e+05,6.932408289860625518e+04,4.448211967273266055e+04,2.592262867913899390e+04,1.630854849747597837e+04,1.018293772962475668e+04,6.404286671738090263e+03,3.033760991999460202e+03,1.762967574666004793e+03
