model,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19
0.000000000000000000e+00,0.000000000000000000e+00,2.465193575094089738e+03,1.529177684901490693e+03,1.000078164990087316e+03,7.094198877934511529e+02,9.326137585577872642e+02,1.382081851265982550e+03,1.099756133216603530e+03,1.649072271120652886e+03,1.824737748094197968e+03,8.885993184579293711e+02,7.566296673955823735e+02,7.630858904136180172e+02,7.183641555811060471e+02,7.006875430983006936e+02,7.980506485314980409e+02,8.023574502246923430e+02,6.759137885441643903e+02,3.185842429295594229e+02,1.912798498388927158e+02
1.000000000000000000e+00,6.647288039348503844e+03,4.866363758005231830e+03,4.521692861667605030e+03,5.911368841811568927e+03,4.495045052383521579e+03,3.355816491508443505e+03,4.173335630697706620e+03,3.660916668500971355e+03,3.541864445025321857e+03,3.382734480904624434e+03,2.951975455578166930e+03,2.469353851139891958e+03,1.993143628230564900e+03,1.633584728706237229e+03,1.293970322295750293e+03,9.457689850323073415e+02,6.860660906149765879e+02,4.893943123870281511e+02,2.833800472144979494e+02,1.810666407644719129e+02
2.000000000000000000e+00,0.000000000000000000e+00,3.064573116667742852e+03,0.000000000000000000e+00,6.251218825947704545e+02,5.757550143112008527e+02,3.274654467144827095e+02,4.663474125334691962e+02,7.377352559898978370e+02,4.176246056996354241e+02,4.040524411535708964e+02,4.340121114470856014e+02,4.095515347621229125e+02,3.840431459904087887e+02,4.359492209373902938e+02,2.538892527917733446e+02,2.007695878356232129e+02,2.070286268521294915e+02,1.158045424405600841e+02,9.283592312493657062e+01,5.077469784774206829e+01
3.000000000000000000e+00,3.075149324051289568e+03,3.463591659721705128e+03,1.800328980042299236e+03,1.536503333940032689e+03,1.672145691446537057e+03,1.470506961027636180e+03,1.730073441801614308e+03,1.342894423115483960e+03,1.100244974248756307e+03,1.023750523867131392e+03,8.393154950640732750e+02,7.323167059042252731e+02,6.326754897814456626e+02,4.794380335160519166e+02,3.801119528200867421e+02,3.004979142242177659e+02,2.060299639769160649e+02,1.403688619844417076e+02,1.133142256050642516e+02,6.631566474469083516e+01
4.000000000000000000e+00,0.000000000000000000e+00,5.359737337305244182e+03,8.173990216536406024e+02,1.113885140560037826e+03,1.475190641589114193e+03,1.318041904762484137e+03,1.013259417958310905e+03,1.165738825626655171e+03,1.020885303877419346e+03,8.597706672531908225e+02,8.466011000147063896e+02,6.713578308952094176e+02,5.399635712209594658e+02,4.187065004298975168e+02,3.235568993734647165e+02,2.362346478720855600e+02,1.839670060695727898e+02,1.301191449152168786e+02,9.872977595358068470e+01,6.330322820556713026e+01
5.000000000000000000e+00,1.645592533040095441e+04,4.562980145866705243e+03,7.926260256934443532e+03,6.189824703228791805e+03,5.178526083745898177e+03,8.162591003509724942e+03,4.929193884791274286e+03,4.236799783509840381e+03,3.700471462017401791e+03,3.137062575059768733e+03,2.555564272123413048e+03,2.166549495248636504e+03,1.765001787471745956e+03,1.673197110890588419e+03,1.276372442873871478e+03,9.296116410723728904e+02,6.533193869557854896e+02,4.725771081801601667e+02,2.898474901105885237e+02,2.211726735813108746e+02
