k,P(k)
1.304901978014400665e+00,1.656417067696839496e+01
1.414991297434574413e+00,1.487219864061463959e+01
1.534368408930008476e+00,1.338623647004705930e+01
1.663816886076124879e+00,1.207541953034697890e+01
1.804186409392068535e+00,1.091300237987443822e+01
1.956398343517060656e+00,9.876378059337630688e+00
2.121451784910627136e+00,8.946750497333169960e+00
2.300430119772915116e+00,8.107900203323344712e+00
2.494508135230309787e+00,7.346452725851926324e+00
2.704959730463128320e+00,6.651668408109001618e+00
2.933166278390038073e+00,6.015017265325445450e+00
3.180625692794113224e+00,5.429614224159551306e+00
3.448962260405752378e+00,4.890179900367304100e+00
3.739937302478791636e+00,4.392643005815837220e+00
4.055460735840823894e+00,3.933712004152066566e+00
4.397603609302708882e+00,3.511109686619126258e+00
4.768611697714458586e+00,3.122967570043651886e+00
5.170920242896746899e+00,2.767604696563571665e+00
5.607169938205446513e+00,2.443647261047831254e+00
6.080224261649412654e+00,2.149641337949474096e+00
6.593188271333538353e+00,1.884069188762668601e+00
7.149428986597557767e+00,1.645373309880201917e+00
7.752597488629439759e+00,1.431872923920001650e+00
8.406652885618305149e+00,1.241816156289226925e+00
9.115888299750803725e+00,1.073412973525753156e+00
9.884959046625565904e+00,9.248617899512907581e-01
1.071891319205126081e+01,7.943825778291639939e-01
1.162322468679851006e+01,6.802481850105729366e-01
1.260382929679724029e+01,5.808066392027912972e-01
1.366716356462003112e+01,4.944966205428838468e-01
1.482020705798855076e+01,4.198591887336075579e-01
1.607052818261635707e+01,3.555449241334773247e-01
1.742633386009647012e+01,3.003162414385336931e-01
1.889652339691206961e+01,2.530460939903433348e-01
2.049074689815840955e+01,2.127151553026538910e-01
2.221946860939517165e+01,1.784086077609822463e-01
2.409403560239519138e+01,1.493108606089674217e-01
2.612675225563322812e+01,1.246983144041948210e-01
2.833096101839318592e+01,1.039339680373377317e-01
3.072112998861751976e+01,8.646040887288301835e-02
3.331294787934662338e+01,7.179215961507036392e-02
3.612342699709420657e+01,5.950783459976486528e-02
3.917101490809248787e+01,4.924341637957612566e-02
4.247571552536889072e+01,4.068559719736150604e-02
4.605922041145095847e+01,3.356542858973331905e-02
4.994505115855130128e+01,2.765242641307391960e-02
5.415871378079463483e+01,2.275042353192398281e-02
5.872786613189462912e+01,1.869335012832534088e-02
6.368249944718569111e+01,1.534103420950583101e-02
6.905513520162310215e+01,1.257537551406616612e-02
7.488103857590006385e+01,1.029719854269271762e-02
8.119844993183994575e+01,8.423424794203148228e-03
8.804883581643446178e+01,6.884408665161047616e-03
9.547716114208026283e+01,5.621225313573124591e-03
1.035321843295659079e+02,4.584702582021504304e-03
1.122667773510810321e+02,3.734585810479942609e-03
1.217382727739658037e+02,3.038139087488442736e-03
1.320088400831414788e+02,2.468360524781240770e-03
1.431458937523476038e+02,2.002840830030417751e-03
1.552225357427041956e+02,1.623007099118449004e-03
1.683180353330951391e+02,1.313496261669253691e-03
1.825183494319037720e+02,1.061559018049800700e-03
1.979166867853551537e+02,8.566498829297775931e-04
2.146141197858398755e+02,6.901509908440854341e-04
2.327202478960403766e+02,5.550640892251489404e-04
2.523539170434760877e+02,4.456598810097265944e-04
2.736439997074660937e+02,3.572139403405987868e-04
2.967302408188859886e+02,2.858365863960719237e-04
3.217641750250726886e+02,2.283342265510425874e-04
3.489101213406763122e+02,1.820959690136948164e-04
3.783462617131920069e+02,1.449934452374749530e-04
4.102658105827183590e+02,1.152824959721580899e-04
4.448782831127568329e+02,9.154461839874132936e-05
4.824108704165353743e+02,7.262532092978719758e-05
5.231099308056244581e+02,5.758157865301245879e-05
5.672426068491962496e+02,4.566354590674924155e-05
6.150985788580485405e+02,3.625801890185378700e-05
6.669919663030104857e+02,2.885815488550116042e-05
7.232633896483520175e+02,2.305350346829972927e-05
7.842822061337651576e+02,1.850996113522256973e-05
8.504489341802649278e+02,1.495484825340076090e-05
9.221978823334316075e+02,1.216771954667238826e-05
9.999999999999970441e+02,9.977937911137829826e-06
