k,P(k)
1.000000000000000048e-04,4.242018308051780764e+02
1.084365968689610110e-04,4.587825696937528619e+02
1.175849554052156527e-04,4.961784535258589131e+02
1.275051240713013080e-04,5.366176413668133591e+02
1.382622173764655948e-04,5.803464137000866003e+02
1.499268432786045660e-04,6.276306285610877467e+02
1.625755666443794026e-04,6.787575454734812865e+02
1.762914118095947492e-04,7.340365075919846731e+02
1.911644075385702070e-04,7.938014332575110075e+02
2.072921779595371145e-04,8.584123342152743135e+02
2.247805833548725449e-04,9.282566683505399396e+02
2.437444150122219922e-04,1.003751546420589648e+03
2.643081486974104954e-04,1.085345971851327477e+03
2.866067616948251196e-04,1.173522381800362382e+03
3.107866187782011656e-04,1.268798733868832414e+03
3.370064329271927847e-04,1.371730463245897454e+03
3.654383070957255785e-04,1.482912623569640573e+03
3.962688638701477467e-04,1.602982565354924418e+03
4.297004704320840575e-04,1.732620578957478983e+03
4.659525668664678830e-04,1.872552154916434574e+03
5.052631065335679277e-04,2.023550406017510568e+03
5.478901179593940844e-04,2.186436955719899743e+03
5.941133984965031112e-04,2.362082408155568373e+03
6.442363508721370797e-04,2.551410410377823155e+03
6.985879746785244931e-04,2.755394291866648473e+03
7.575250258771910102e-04,2.975059255833251427e+03
8.214343584919425213e-04,3.211481876101819125e+03
8.907354638610435723e-04,3.465786677085225620e+03
9.658832241158695885e-04,3.739145131885037699e+03
1.047370897959449144e-03,4.032766005460987799e+03
1.135733358343104854e-03,4.347892538845958370e+03
1.231550603292825294e-03,4.685792036693578666e+03
1.335451562929898311e-03,5.047742547296141311e+03
1.448118227674532847e-03,5.435022400362478947e+03
1.570290124729376794e-03,5.848893503157965824e+03
1.702769172225898934e-03,6.290577487826845754e+03
1.846424942895543049e-03,6.761235209810788547e+03
2.002200371815583517e-03,7.261935028218209482e+03
2.171117945694502494e-03,7.793617132315139315e+03
2.354286414322416792e-03,8.357070772521859908e+03
2.552908068239516035e-03,8.952879635926832634e+03
2.768286630392063647e-03,9.581379759216879393e+03
3.001835813575587982e-03,1.024261272786529662e+04
3.255088599835055923e-03,1.093626729910684844e+04
