k,P(k)
1.000000000000000048e-04,7.450401503710331497e+01
1.016482719722096458e-04,7.569203188563290041e+01
1.033237119493630161e-04,7.689897534965277259e+01
1.050267677340709852e-04,7.812514592550631676e+01
1.067578945099494233e-04,7.937084880209297921e+01
1.085175549632780414e-04,8.063639398176070472e+01
1.103062194066649663e-04,8.192209635551868985e+01
1.121243659047491126e-04,8.322827577941824018e+01
1.139724804019748728e-04,8.455525716747015963e+01
1.158510568524727478e-04,8.590337060763505406e+01
1.177605973520807342e-04,8.727295140431458265e+01
1.197016122725417468e-04,8.866434014958477405e+01
1.216746203979131107e-04,9.007788280584588847e+01
1.236801490632243917e-04,9.151393078975397088e+01
1.257187342954206425e-04,9.297284103851602310e+01
1.277909209566287696e-04,9.445497603724584224e+01
1.298972628897854817e-04,9.596070395926663821e+01
1.320383230666652831e-04,9.749039877338472593e+01
1.342146737383487611e-04,9.904444033419530058e+01
1.364268965881705804e-04,1.006232144737790435e+02
1.386755828871888429e-04,1.022271129911935788e+02
1.409613336522167436e-04,1.038565333342170902e+02
1.432847598064591562e-04,1.055118790157942357e+02
1.456464823427969506e-04,1.071935598564939625e+02
1.480471324897625427e-04,1.089019920814905333e+02
1.504873518802513749e-04,1.106375984189666326e+02
1.529677927230140770e-04,1.124008082398773780e+02
1.554891179769752501e-04,1.141920578602572789e+02
1.580520015284257393e-04,1.160117905093380841e+02
1.606571283711351230e-04,1.178604563522464161e+02
1.633051947894334261e-04,1.197385125968383335e+02
1.659969085443100583e-04,1.216464236022773377e+02
1.687329890625803683e-04,1.235846608942591445e+02
1.715141676291704438e-04,1.255537026729720367e+02
1.743411875825707363e-04,1.275540342675580092e+02
1.772148045135117189e-04,1.295861485360523488e+02
1.801357864669140771e-04,1.316505459807912359e+02
1.831049141471676183e-04,1.337477348642641743e+02
1.861229811267939218e-04,1.358782313026169390e+02
1.891907940585479150e-04,1.380425591914951724e+02
1.923091728910158397e-04,1.402412504147858670e+02
1.954789510877666630e-04,1.424748450729131832e+02
1.987009758501157258e-04,1.447438916074478357e+02
2.019761083435602574e-04,1.470489469265658897e+02
2.053052239279469320e-04,1.493905765015011298e+02
2.086892123914335629e-04,1.517693541796035106e+02
2.121289781883065994e-04,1.541858624210374273e+02
2.156254406807191258e-04,1.566406926307533070e+02
2.191795343844130052e-04,1.591344452948343076e+02
2.227922092184908976e-04,1.616677301156498174e+02
2.264644307593059703e-04,1.642411660868350793e+02
2.301971804985357059e-04,1.668553808106306349e+02
2.339914561055099311e-04,1.695110108063764756e+02
2.378482716938622903e-04,1.722087022501500257e+02
2.417686580925772655e-04,1.749491111300749537e+02
2.457536631215046234e-04,1.777329033891192012e+02
2.498043518714149354e-04,1.805607550355371416e+02
2.539218069886713591e-04,1.834333516927734422e+02
2.581071289645939281e-04,1.863513887825731388e+02
2.623614364295923530e-04,1.893155721745064568e+02
2.666858664521479434e-04,1.923266183531366664e+02
2.710815748427231747e-04,1.953852545695986294e+02
2.755497364626802691e-04,1.984922189642242927e+02
2.800915455382921651e-04,2.016482599952308874e+02
2.847082159799287104e-04,2.048541365172498843e+02
2.894009817065040530e-04,2.081106186395559803e+02
2.941710969752718606e-04,2.114184879178318965e+02
2.990198367170569457e-04,2.147785375138157633e+02
3.039484968770112265e-04,2.181915723210560714e+02
3.089583947609874813e-04,2.216584079460581052e+02
3.140508693876216981e-04,2.251798705176616693e+02
3.192272818462186168e-04,2.287567981608243599e+02
3.244890156605365777e-04,2.323900412447684403e+02
3.298374771585681165e-04,2.360804625475526848e+02
3.352740958484162152e-04,2.398289374054502900e+02
3.408003248003649245e-04,2.436363530489807943e+02
3.464176410352488226e-04,2.475036083342651807e+02
3.521275459192226812e-04,2.514316149717731435e+02
3.579315655650388379e-04,2.554212977856173836e+02
3.638312512399386367e-04,2.594735948840544211e+02
3.698281797802661377e-04,2.635894578046786023e+02
3.759239540129174508e-04,2.677698495749446579e+02
3.821202031837346016e-04,2.720157432045095334e+02
3.884185833929627027e-04,2.763281249475941763e+02
3.948207780378827007e-04,2.807079948082468377e+02
4.013284982627411289e-04,2.851563667058825899e+02
4.079434834160958027e-04,2.896742686398469004e+02
4.146675015156989978e-04,2.942627425202325639e+02
4.215023497210442557e-04,2.989228439591066717e+02
4.284498548137012316e-04,3.036556430082584370e+02
4.355118736855685246e-04,3.084622244089381979e+02
4.426902938351729138e-04,3.133436877629238211e+02
4.499870338721504727e-04,3.183011476967355406e+02
4.574040440300426464e-04,3.233357314774397082e+02
4.649433066875433593e-04,3.284485753036927349e+02
4.726068368983388592e-04,3.336408294213013050e+02
4.803966829296808100e-04,3.389136591629051054e+02
4.883149268098355839e-04,3.442682451018206962e+02
4.963636848845581285e-04,3.497057832053448010e+02
5.045451083827372620e-04,3.552274838473949217e+02
5.128613839913648362e-04,3.608345696700042140e+02
5.213147344399808808e-04,3.665282782732772375e+02
5.299074190947543773e-04,3.723098629371835955e+02
5.386417345623527525e-04,3.781805927652606556e+02
5.475200153037678178e-04,3.841417528281347131e+02
5.565446342582578559e-04,3.901946425773062970e+02
5.657180034775733659e-04,3.963405714652906795e+02
5.750425747706383118e-04,4.025808634788351128e+02
5.845208403588553593e-04,4.089168585404481746e+02
5.941553335422147548e-04,4.153499126283601868e+02
6.039486293763798820e-04,4.218813978955715811e+02
6.139033453609350072e-04,4.285127010203240161e+02
6.240221421389765969e-04,4.352452173825722639e+02
6.343077242082355597e-04,4.420803562548383070e+02
6.447628406439209064e-04,4.490195428069055765e+02
6.553902858334772737e-04,4.560642181912971864e+02
6.661929002234552631e-04,4.632158396266681848e+02
6.771735710786891014e-04,4.704758795501346640e+02
6.883352332539902215e-04,4.778458217299140642e+02
6.996808699785597285e-04,4.853271643036496812e+02
7.112135136533288913e-04,4.929214213101229234e+02
7.229362466614441774e-04,5.006301227438183332e+02
7.348522021921093323e-04,5.084548146057445592e+02
7.469645650780070908e-04,5.163970570396394351e+02
7.592765726465256024e-04,5.244584140667187739e+02
7.717915155850124794e-04,5.326404602409413656e+02
7.845127388202920680e-04,5.409447850764254326e+02
7.974436424126813208e-04,5.493729930460127662e+02
8.105876824647371580e-04,5.579267035654607980e+02
8.239483720449872857e-04,5.666075503721256155e+02
8.375292821268825625e-04,5.754171774106426938e+02
8.513340425432283035e-04,5.843572409867903161e+02
8.653663429563477911e-04,5.934294117477419377e+02
8.796299338442329979e-04,6.026353746334270909e+02
8.941286275029538969e-04,6.119768288107266017e+02
9.088662990655880852e-04,6.214554866149823056e+02
9.238468875379446995e-04,6.310730649618370762e+02
9.390743968513639737e-04,6.408312888513460166e+02
9.545528969328618630e-04,6.507318961321956294e+02
9.702865247929216841e-04,6.607766374185400764e+02
9.862794856312100036e-04,6.709672759471449126e+02
1.002536053960522951e-03,6.813055866242007141e+02
1.019060574749250814e-03,6.917933470174208423e+02
1.035857464582681407e-03,7.024323398436665684e+02
1.052931212843439277e-03,7.132243586224632281e+02
1.070286382911384612e-03,7.241712075570467277e+02
1.087927613383289291e-03,7.352747013016441997e+02
1.105859619312615566e-03,7.465366640990692986e+02
1.124087193469729780e-03,7.579589206654029567e+02
1.142615207622889621e-03,7.695432973952249540e+02
1.161448613840342309e-03,7.812916288170736152e+02
1.180592445813890418e-03,7.932057574529067097e+02
1.200051820204265122e-03,8.052875334831163627e+02
1.219831938008683961e-03,8.175388138798037971e+02
1.239938085950942868e-03,8.299614522064606490e+02
1.260375637894424559e-03,8.425572983900030977e+02
1.281150056278397087e-03,8.553282069374997718e+02
1.302266893577982065e-03,8.682760368294694899e+02
1.323731793788193462e-03,8.814026510653005744e+02
1.345550493932431676e-03,8.947099154956830489e+02
1.367728825595848543e-03,9.081996802967445319e+02
1.390272716483977305e-03,9.218737766166402707e+02
1.413188192007060542e-03,9.357340341990372963e+02
1.436481376890489390e-03,9.497822817385019789e+02
1.460158496811786184e-03,9.640203462535203016e+02
1.484225880064572473e-03,9.784500519587243161e+02
1.508689959249959103e-03,9.930732018460314521e+02
1.533557272995817638e-03,1.007891570629656712e+03
1.558834467704390452e-03,1.022906924574106711e+03
1.584528299328704813e-03,1.038121022149734927e+03
1.610645635178270182e-03,1.053535613215096419e+03
1.637193455754531665e-03,1.069152437774865803e+03
1.664178856616584405e-03,1.084973202691092638e+03
1.691609050277634221e-03,1.100999567441042927e+03
1.719491368132721864e-03,1.117233173037964207e+03
1.747833262418218084e-03,1.133675643753638724e+03
1.776642308203615342e-03,1.150328586066985281e+03
1.805926205416154154e-03,1.167193587336555538e+03
1.835692780898817277e-03,1.184272191439416702e+03
1.865949990502248357e-03,1.201565877206429150e+03
1.896705921211145826e-03,1.219076092871027186e+03
1.927968793305710141e-03,1.236804259002992467e+03
1.959746962558716818e-03,1.254751767198980133e+03
1.992048922468801168e-03,1.272919978639159353e+03
2.024883306530559073e-03,1.291310203383818134e+03
2.058258890542054471e-03,1.309923675356841386e+03
2.092184594950372793e-03,1.328761585019962240e+03
2.126669487235827508e-03,1.347825082983256380e+03
2.161722784335469872e-03,1.367115278446018465e+03
2.197353855106541545e-03,1.386633237576284728e+03
2.233572222830531012e-03,1.406379965324746536e+03
2.270387567758507322e-03,1.426356376569833856e+03
2.307809729698402906e-03,1.446563328096260648e+03
2.345848710644948473e-03,1.467001623267608011e+03
2.384514677452950846e-03,1.487672010231017111e+03
2.423817964554633199e-03,1.508575180091486800e+03
2.463769076721769764e-03,1.529711746699728792e+03
2.504378691873342284e-03,1.551082205075899992e+03
2.545657663929481486e-03,1.572686972372421451e+03
2.587617025712438210e-03,1.594526396296276744e+03
2.630267991895381303e-03,1.616600753072493944e+03
2.673621961999794652e-03,1.638910245391748276e+03
2.717690523442278273e-03,1.661454985056446276e+03
2.762485454631574862e-03,1.684234948027484734e+03
2.808018728116635793e-03,1.707250013067688769e+03
2.854302513786580522e-03,1.730499972237009843e+03
2.901349182123400244e-03,1.753984528659804482e+03
2.949171307508273183e-03,1.777703294284212234e+03
2.997781671582380996e-03,1.801655767663502274e+03
3.047193266663111855e-03,1.825841259978433072e+03
3.097419299216580026e-03,1.850258952840111533e+03
3.148473193387378317e-03,1.874907920216894126e+03
3.200368594586516617e-03,1.899787126008584892e+03
3.253119373138486318e-03,1.924895421623539505e+03
3.306739627988450683e-03,1.950231530618606712e+03
3.361243690470533483e-03,1.975793987359119001e+03
3.416646128138223302e-03,2.001581177724410736e+03
3.472961748657912677e-03,2.027591359705662853e+03
3.530205603766603788e-03,2.053822660935709791e+03
3.588392993294863605e-03,2.080273076221096744e+03
3.647539469256077128e-03,2.106940445840451048e+03
3.707660840003108513e-03,2.133822342453298461e+03
3.768773174453472503e-03,2.160916138083211536e+03
3.830892806384145893e-03,2.188219051791023503e+03
3.894036338797171766e-03,2.215728147308903317e+03
3.958220648357224820e-03,2.243440330572830135e+03
4.023462889902310047e-03,2.271352333796778566e+03
4.089780501028826391e-03,2.299460615060619148e+03
4.157191206752180665e-03,2.327761406930118028e+03
4.225713024244241896e-03,2.356250765557322666e+03
4.295364267648870381e-03,2.384924568701916087e+03
4.366163552976834623e-03,2.413778513480932361e+03
4.438129803081385105e-03,2.442808101216146497e+03
4.511282252715860530e-03,2.472008515681108747e+03
4.585640453674644061e-03,2.501374669665354759e+03
4.661224280018869473e-03,2.530901275576692569e+03
