k, P_1h 
1.000000000000000056e-01,2.034063541398191788e+00
1.268961003167922152e-01,2.033906868151584391e+00
1.610262027560939169e-01,2.033654617778085871e+00
2.043359717856941815e-01,2.033248518293666152e+00
2.592943797404667072e-01,2.032594824258829647e+00
3.290344562312668697e-01,2.031542808227325914e+00
4.175318936560401539e-01,2.029850348046485564e+00
5.298316906283708771e-01,2.027129086377160938e+00
6.723357536499336984e-01,2.022757601031445418e+00
8.531678524172807698e-01,2.015745385980200588e+00
1.082636733874054569e+00,2.004523542264057934e+00
1.373823795883263088e+00,1.986632375884220369e+00
1.743328822199988082e+00,1.958279967756342499e+00
2.212216291070449259e+00,1.913781959769147889e+00
2.807216203941177213e+00,1.845013717399387687e+00
3.562247890262442152e+00,1.741308244938851946e+00
4.520353656360242667e+00,1.590814776445705014e+00
5.736152510448678576e+00,1.384998225927892124e+00
7.278953843983149596e+00,1.127363614296778227e+00
9.236708571873860407e+00,8.425568412450659128e-01
1.172102297533480630e+01,5.733512187823115447e-01
1.487352107293511772e+01,3.586693732670198642e-01
1.887391822135097641e+01,2.133853557716678950e-01
2.395026619987486072e+01,1.246053031183160381e-01
3.039195382313198124e+01,7.079935122717523344e-02
3.856620421163471946e+01,3.961785000169948390e-02
4.893900918477493889e+01,2.104078466014512247e-02
6.210169418915616291e+01,1.069003761556360649e-02
7.880462815669912402e+01,5.446320704373063502e-03
1.000000000000000000e+02,2.831117015924905240e-03
