model,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19
0.000000000000000000e+00,1.235099993665908369e+04,4.816040785576002236e+04,7.978985533976410807e+04,4.418827267488439247e+04,2.995123225826720591e+04,2.324941502931745708e+04,1.669049810772868659e+04,1.190186289592586945e+04,9.112281827793865887e+03,5.513865099016253225e+03,1.005137313594377702e+04,3.896816155940200588e+03,1.744699963146076925e+03,1.356062016257029654e+03,7.180640309049866801e+02,5.276868215539177527e+02,3.618071745692989793e+02,2.363043536534128748e+02,1.504010918106121437e+02,1.232156516406001145e+02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.388277697185366151e+02,1.617620831518795740e+03,8.860295362004620983e+03,9.795350435769456453e+03,3.256181848724814245e+03,4.240680473902568338e+03,3.789957112779087765e+03,3.463704900539133178e+03,2.386823950993038579e+03,8.621107244173661002e+02,4.637638441685963926e+02,3.971279029241632657e+02,3.051075497246923192e+02,1.626846966836202171e+02,1.454640641490402118e+02,1.263585716354665038e+02
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.388277697185366151e+02,1.617620831518795740e+03,8.860295362004620983e+03,9.795350435769456453e+03,3.256181848724814245e+03,4.240680473902568338e+03,3.789957112779087765e+03,3.463704900539133178e+03,2.386823950993038579e+03,8.621107244173661002e+02,4.637638441685963926e+02,3.971279029241632657e+02,3.051075497246923192e+02,1.626846966836202171e+02,1.454640641490402118e+02,1.263585716354665038e+02
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.388277697185366151e+02,1.617620831518795740e+03,8.860295362004620983e+03,9.795350435769456453e+03,3.256181848724814245e+03,4.240680473902568338e+03,3.789957112779087765e+03,3.463704900539133178e+03,2.386823950993038579e+03,8.621107244173661002e+02,4.637638441685963926e+02,3.971279029241632657e+02,3.051075497246923192e+02,1.626846966836202171e+02,1.454640641490402118e+02,1.263585716354665038e+02
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.388277697185366151e+02,1.617620831518795740e+03,8.860295362004620983e+03,9.795350435769456453e+03,3.256181848724814245e+03,4.240680473902568338e+03,3.789957112779087765e+03,3.463704900539133178e+03,2.386823950993038579e+03,8.621107244173661002e+02,4.637638441685963926e+02,3.971279029241632657e+02,3.051075497246923192e+02,1.626846966836202171e+02,1.454640641490402118e+02,1.263585716354665038e+02
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.388277697185366151e+02,1.617620831518795740e+03,8.860295362004620983e+03,9.795350435769456453e+03,3.256181848724814245e+03,4.240680473902568338e+03,3.789957112779087765e+03,3.463704900539133178e+03,2.386823950993038579e+03,8.621107244173661002e+02,4.637638441685963926e+02,3.971279029241632657e+02,3.051075497246923192e+02,1.626846966836202171e+02,1.454640641490402118e+02,1.263585716354665038e+02
