model,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19
0.000000000000000000e+00,1.311065168764009140e+05,1.390851183791621588e+05,9.995893230508097622e+04,6.251349047800843982e+04,4.993213844783214881e+04,4.664342045689491351e+04,4.303314528551277181e+04,2.353135385750854039e+04,1.481518779688854374e+04,9.108907802113328216e+03,3.644138441914481064e+03,3.064821551334574906e+03,1.723872974185142766e+03,1.030317352208922330e+03,6.653414822188489097e+02,4.415024461277073442e+02,2.541614411191692966e+02,1.678492745085020488e+02,1.360435288959764932e+02,9.153616820006709531e+01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.402065220969259940e+01,0.000000000000000000e+00,3.343839087947014832e+01,3.366141455634461011e+01,8.701743168213394597e+01,8.446202006507324711e+01,1.042372905863205119e+02,1.438018455460686482e+02,1.819611506265873970e+02,1.757357768687579664e+02,6.393462744973484035e+01,3.932571830306272176e+01,3.366842794941903350e+01,2.944097564869209549e+01
2.000000000000000000e+00,5.954824048744851025e+05,4.983496286870010081e+05,2.630493827336762333e+05,1.620860350085107202e+05,8.015373152591046528e+04,5.625681546272480045e+04,3.522292939742819726e+04,1.304871465631851424e+04,6.571350740049460001e+03,4.394909875171412750e+03,3.955841796536602033e+03,2.349542738546811506e+03,1.355541442251513899e+03,9.866452809629087142e+02,7.574197315892100733e+02,5.392822909128860829e+02,3.342176507013394371e+02,2.299574879077727871e+02,1.391286377290388430e+02,7.804936775500554802e+01
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.026050181082844119e+02,4.067882804053614620e+01,1.162804500720016136e+02,1.885491179762452418e+02,6.460845170149195837e+01,9.401486582117634327e+01,1.496391288590426711e+02,5.626187399461909422e+01,3.030045956361213655e+01,2.254086088619594719e+01,2.788610965028366095e+01,7.942384938243434611e+00,7.937307659757308897e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.958438667202760497e-01,0.000000000000000000e+00,1.595647057768797561e-01,1.050535176495343004e-01,6.641060969963204219e-02,1.946190090289737773e-01,6.072759383253900634e-01
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.366978852448577300e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.760934135265314282e+01,0.000000000000000000e+00,1.987126552492972209e+01,6.061778367885747798e+01,1.323662879412417510e+02,1.724931396154679817e+02,1.740594503147428043e+02,1.942842288190084048e+02,1.162855826968621074e+02,6.048895294522179000e+01,4.279114574942309446e+01,3.499564742334498391e+01
