rho
1.875946619347914485e-02
5.003168447755488440e-02
1.215580123873698792e-01
3.058721151989202136e-01
7.074459011459929281e-01
1.632917712607782068e+00
3.590620183788308495e+00
7.641863458466658265e+00
1.521243197858547802e+01
2.860250438917914906e+01
5.122302985474438941e+01
8.560912373964765720e+01
1.344920867481188225e+02
2.009052540766639652e+02
2.908654946594826924e+02
4.177578783886522160e+02
5.916728255850924825e+02
8.047179029248223969e+02
1.076279651938104053e+03
8.996269174456834889e+02
