i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
0.000000000000000000e+00,7.180252736957107196e+00,1.905283299464749242e-03,5.421108058906832540e-03,5.757903063295726279e-03,3.360211937601067633e-03,2.360524666854352683e-03,2.976243976315649364e-03,1.957743321649586810e-03,1.485166501975596510e-03,1.279415955763548492e-03,7.769528782786565323e-04,5.415521953670115714e-04,2.789942684515535950e-04,1.545799822596107377e-04,7.761113434887979888e-05,3.228312061820616714e-05,1.551230140123562425e-05,5.302759893297602869e-06,1.953304731441979155e-06,9.472007283148355872e-07,4.030285309843051624e-07,6.763046264648437500e+01
1.000000000000000000e+00,7.576603644175624375e+00,6.675679815771277253e-03,5.545649194024531402e-03,5.066443703462299164e-03,3.024696064305903813e-03,2.607853793746750439e-03,3.011199319491351771e-03,1.978054329287499535e-03,1.636961975653551367e-03,1.135302330250089137e-03,4.803554365665683957e-04,3.233547937002264542e-04,2.202096142701737266e-04,1.337226596256021506e-04,6.868515937480203551e-05,3.716744522508655336e-05,1.658203098591511562e-05,7.641275106316017105e-06,3.656437787353191785e-06,1.293414314318578638e-06,5.947781083496307445e-07,6.882376861572265625e+01
2.000000000000000000e+00,6.681630153537379435e+00,3.640235583901801387e-03,2.520364122403982547e-03,3.247446295185430973e-03,2.767089545684406435e-03,1.980505770530886951e-03,1.836889538103584230e-03,1.390094524217760051e-03,9.364173438933547002e-04,8.168441237859274187e-04,5.488682574205912355e-04,2.903142665044541513e-04,1.900002639962486189e-04,1.104934009498057061e-04,6.499321192156198358e-05,3.656522397631188929e-05,1.517206273695834695e-05,7.606579802280741811e-06,3.736190164386650436e-06,2.024643411258940608e-06,1.212047533037096604e-06,6.601828002929687500e+01
3.000000000000000000e+00,4.976633732782190123e+00,5.449490222530399032e-03,3.204826671840792229e-03,4.508071001763431195e-03,4.672480694420100972e-03,2.293687887093065654e-03,1.768104097366043773e-03,1.308517270723757574e-03,1.193840264107689543e-03,8.443525628339787871e-04,3.781639361860337427e-04,3.362537770235797096e-04,1.839380888833023564e-04,9.044211855982409382e-05,4.377491556447571326e-05,2.690879439800050651e-05,1.229135015385817703e-05,8.122827131374679756e-06,5.058744009610963414e-06,2.554046058058302572e-06,1.515336463336170803e-06,5.984281921386718750e+01
4.000000000000000000e+00,7.401894052978358118e+00,1.050123631585697399e-03,5.146918197013685206e-03,3.223851525981201102e-03,1.511324224449736662e-03,2.603151120210737361e-03,1.248568113782876597e-03,1.330812967513767247e-03,9.146807309985544032e-04,7.394715503810979102e-04,4.754907298469989883e-04,2.880020647151203999e-04,2.049745068986293193e-04,1.274873875266855402e-04,7.499730583371692666e-05,3.804177581302535760e-05,1.636571813558735308e-05,8.047320397639086566e-06,4.073934705738621279e-06,1.597075848727379781e-06,9.646093876611457499e-07,6.832675170898437500e+01
5.000000000000000000e+00,7.257677025359845047e+00,3.699869725835260546e-03,7.221185819834206356e-03,2.581482365951265779e-03,7.360156741634832182e-03,3.041606003294878777e-03,2.579643753856259054e-03,1.875697786298722919e-03,1.471713566868164749e-03,1.012008010816149630e-03,5.664912578572977100e-04,3.416348212274455324e-04,2.192731216538717359e-04,1.198452272205254509e-04,7.115263245806204961e-05,3.275396498404059423e-05,1.652005652423223935e-05,7.878809941863352113e-06,3.747306770634446622e-06,1.324898660081073357e-06,6.974330114315864568e-07,6.785346984863281250e+01
6.000000000000000000e+00,6.761427263082570249e+00,4.534625514176365141e-03,5.926531407756060327e-03,1.528842961079079476e-03,3.278835230490891040e-03,2.914144864866591560e-03,1.994335880719978575e-03,1.730090153181306715e-03,1.365755339441051619e-03,1.050515014030911545e-03,6.396097292856238285e-04,3.745291440673609242e-04,1.888303056015381003e-04,1.154458711269132430e-04,6.044904393719844005e-05,2.814053650515668494e-05,1.635303477303047095e-05,6.243830054225563402e-06,3.767090118066770598e-06,1.917264454379735737e-06,1.085074304292517491e-06,6.627613830566406250e+01
7.000000000000000000e+00,6.940893464392943635e+00,1.097773773932387165e-03,6.917198664677092282e-03,5.609896680331481755e-03,3.617762809173162130e-03,2.318722919900856935e-03,2.254885959096942366e-03,1.787769367530480475e-03,8.575261569139419658e-04,8.237250345811761168e-04,6.447366334966009088e-04,3.756201909182096390e-04,1.927042733814685895e-04,1.222670295934041840e-04,7.538548832463239622e-05,3.225588779022485480e-05,1.544662144360186393e-05,6.794776647252187364e-06,3.403774527317981200e-06,1.869184400416208047e-06,9.412927928793228988e-07,6.686698150634765625e+01
8.000000000000000000e+00,7.659114464728095761e+00,8.880302452747684469e-03,5.420386550098270015e-03,2.478042913255213819e-03,2.271880054020522857e-03,3.728367622079543919e-03,2.169337982765857757e-03,1.441243142866288933e-03,1.015227186206112218e-03,7.240955485993041257e-04,5.587636639966510549e-04,4.093008730920585860e-04,2.101660503883025460e-04,1.078996691507695487e-04,7.167044698780402593e-05,3.695788628850624116e-05,1.840993490965504617e-05,8.361246201714292588e-06,3.989228448396136692e-06,1.525720628551221442e-06,6.113202355601624785e-07,6.908949279785156250e+01
9.000000000000000000e+00,7.378996315160121000e+00,4.402339774078435804e-03,3.598132895238609786e-03,1.126480820522608424e-03,2.518791854947211376e-03,2.110490403504485055e-03,1.933335213483023361e-03,1.346105675328798743e-03,1.049344882565991007e-03,6.673652258265261577e-04,4.450261795680900026e-04,3.100117629232118123e-04,1.849125894320719659e-04,1.182185389147609737e-04,6.131721682739862879e-05,3.243501746401244475e-05,1.583157026929297748e-05,8.003800827527912502e-06,4.686111725656610606e-06,2.456755262045905006e-06,9.433198636947585373e-07,6.822128295898437500e+01
