rho
1.075555257665096037e+07
8.605833635209776461e+06
6.802187440245392732e+06
5.020221651043399237e+06
3.572299752706486266e+06
3.867045166792131029e+06
4.075148742489238270e+06
4.178904504476916976e+06
4.136806268432431389e+06
4.028370924362129066e+06
3.805997103104244918e+06
3.535384306885579135e+06
3.264082184434569906e+06
2.988027721861137543e+06
2.688897746081002522e+06
2.436455313425795641e+06
2.218015540440398268e+06
1.955256167722353712e+06
1.720026736230448587e+06
1.466900754609544063e+06
