i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
0.000000000000000000e+00,2.831417341397983378e+01,3.921544450719648134e-03,5.375332110012235459e-03,2.955651303252750280e-03,3.175876127353984783e-03,2.286937671831356343e-03,2.182933506718605192e-03,1.511418590883425355e-03,9.243374035757101871e-04,6.683536237226978417e-04,4.711466140857021884e-04,2.894044086636616089e-04,1.645702824461462018e-04,8.956796594996655728e-05,4.908128280373707966e-05,2.706337945414196119e-05,1.531856528436836788e-05,8.204855407707395033e-06,5.425910409498833763e-06,2.755571926427214139e-06,1.252096763541894045e-06,1.068291091918945312e+02
1.000000000000000000e+00,2.789641027270265994e+01,1.075211139008232404e-03,5.838151139043569818e-03,5.484231974596381030e-03,3.004401211425099943e-03,2.905899874682869952e-03,2.372286395266355596e-03,1.831643057918673533e-03,1.367010773982308032e-03,8.746201529026399833e-04,4.709393320690088720e-04,2.684127774282335423e-04,1.511275721576281928e-04,8.428083665594115527e-05,4.819299240882807088e-05,2.749162635152291231e-05,1.499279415870821953e-05,9.267453617430592994e-06,5.647074366420944965e-06,2.286728176014719941e-06,1.158792804573152013e-06,1.062938079833984375e+02
2.000000000000000000e+00,2.640131172407278370e+01,3.040124826501943225e-03,5.163855124080116155e-03,4.553343909268851679e-03,3.545042828858168283e-03,2.252737657119589527e-03,1.730016342434753532e-03,1.297285601741116588e-03,7.939758439413555340e-04,4.471706624033394716e-04,2.756756256717656102e-04,1.839805343101213856e-04,1.100140850147826290e-04,5.672079897548113858e-05,3.491857508073915986e-05,2.234694481072237087e-05,2.514262263140953883e-05,1.671553051515842664e-05,5.851467670138142224e-06,2.312089038698906476e-06,1.120695589115414496e-06,1.043586120605468750e+02
3.000000000000000000e+00,2.961333034359355665e+01,6.129072405135426241e-03,5.303954511629177006e-03,3.766016259997221737e-03,3.931492084926322891e-03,3.547281691622470885e-03,2.517660743315288351e-03,1.616859181589829116e-03,1.179310904872291283e-03,7.115031881586085342e-04,4.729476812261471986e-04,3.292093011086681220e-04,2.057034150874968508e-04,1.103806591786005896e-04,4.771004708139981625e-05,2.916136528425781213e-05,1.579300420906545166e-05,8.644057491492785158e-06,4.276285201338289747e-06,2.249596640548323934e-06,1.066792206664006062e-06,1.084551467895507812e+02
4.000000000000000000e+00,2.818285022889245539e+01,7.789516008444014386e-03,8.031593611540542230e-03,6.282994653010021135e-03,5.288179183778518935e-03,3.105902695289654639e-03,2.676291561614380348e-03,2.087221390887663165e-03,1.174288787210072630e-03,8.095050959917920660e-04,4.907250791061335514e-04,2.871778257024406710e-04,1.768517608651324865e-04,1.116547058028453937e-04,5.784500778324148495e-05,3.126929530230377724e-05,1.627263109972862463e-05,7.961946952270306018e-06,4.110686334419046748e-06,2.118396129623592171e-06,1.006992803375301343e-06,1.067039871215820312e+02
5.000000000000000000e+00,2.780157725712088990e+01,6.449964648940907826e-03,7.998899362470453245e-03,5.692997678076415317e-03,4.385341914333658331e-03,3.679357074430451673e-03,2.215002936371281497e-03,1.613822301626946943e-03,1.165583690636127915e-03,8.432851570355403203e-04,5.524730627843968704e-04,3.341571179749592484e-04,1.887145707426160740e-04,1.051152473286925189e-04,5.939596348788066141e-05,3.057274733689487435e-05,1.598349477037097060e-05,8.181162203437332344e-06,4.117764564365424817e-06,1.960557404403373587e-06,9.988370834549454417e-07,1.062220001220703125e+02
6.000000000000000000e+00,2.769290679385894194e+01,8.205779721063861248e-03,4.143089319612934182e-03,4.145032650374339336e-03,3.850922821762890053e-03,2.735317756714925660e-03,1.836687294722971330e-03,1.410213643570736638e-03,1.007926435576113290e-03,7.403041040423239154e-04,4.182555239299746270e-04,2.308164464010663199e-04,1.257583064479676532e-04,7.340310311352920506e-05,3.929617013872338630e-05,2.229468710266049107e-05,1.251292158637335459e-05,6.270972116482509608e-06,3.495633067734196965e-06,2.901734530602354139e-06,2.775859999344729094e-06,1.060625991821289062e+02
7.000000000000000000e+00,2.966293017364161244e+01,8.503758833979451620e-03,8.739102675907566356e-03,6.352892018134015731e-03,4.695858218247020953e-03,3.392560991218860657e-03,2.581330684157251421e-03,1.726528479143128779e-03,1.169730761471838177e-03,8.576058900914205986e-04,6.433522445676593399e-04,3.604738598407727359e-04,1.890496297167154301e-04,8.572308825258028472e-05,4.327021778129935283e-05,2.583696115607597826e-05,1.565303201828084964e-05,8.882102610025842119e-06,4.365108467468439971e-06,2.209947843478314235e-06,1.104556870617930030e-06,1.085440139770507812e+02
8.000000000000000000e+00,2.652049405383284864e+01,6.654115844944520110e-03,2.959768488883679841e-03,3.357973232860643302e-03,2.508636199405538374e-03,2.557884669709064099e-03,2.216531671200117504e-03,1.658790982672258066e-03,1.348177953676243761e-03,7.962089523505655594e-04,5.222136993779957249e-04,3.020181360364164870e-04,1.542069005453025751e-04,9.197398842185503323e-05,5.382070791182803058e-05,2.883241978453827763e-05,1.529333375644702738e-05,8.651535200869105656e-06,4.710618012749199754e-06,2.425942477377940346e-06,1.168241303489420824e-06,1.045260925292968750e+02
9.000000000000000000e+00,2.918927287228748213e+01,6.618231058679732541e-03,4.154618910895144582e-03,2.971397365969853134e-03,3.743345745788011995e-03,2.861715528526530185e-03,2.137738507215803784e-03,1.503018823385049441e-03,1.002260755318139457e-03,6.743213322390136143e-04,4.838352024336432041e-04,3.051458988779587669e-04,1.829902261058824248e-04,9.737691837306070161e-05,5.030106616658758137e-05,3.019758727337441676e-05,1.765359834439011265e-05,9.344882807923569239e-06,5.052661028871553286e-06,2.024815953078867905e-06,1.076351274964636949e-06,1.079202346801757812e+02
1.000000000000000000e+01,2.867192173180761827e+01,2.900359509756249288e-03,2.963247587796297329e-03,3.591298546656256432e-03,2.545097368985501079e-03,1.725326197222135224e-03,1.435727330183084139e-03,1.021777857362549200e-03,7.367424640818652504e-04,4.758179471019502666e-04,3.724332045191009583e-04,2.336687267563190514e-04,1.204192295213670139e-04,6.476540203541599297e-05,4.211750318070192227e-05,2.720983529543984447e-05,1.850057009267193163e-05,1.048545647194086725e-05,6.676607744450738296e-06,2.930539443687567745e-06,1.337642408971642087e-06,1.072768783569335938e+02
1.100000000000000000e+01,2.801297004317639505e+01,3.822715617992140935e-03,3.460084940467553650e-03,4.285489137949776567e-03,3.158573171063207459e-03,2.641698536541573807e-03,1.751871550577767953e-03,1.622610238450250672e-03,1.157111108757215637e-03,7.791241650374727996e-04,4.687571395037301125e-04,3.136158274361859188e-04,1.780191007676433252e-04,1.092188600365678923e-04,6.481307564986288393e-05,3.367912031498127218e-05,1.484977823112943428e-05,7.921739496586501726e-06,4.274613363337474863e-06,2.343454264238424733e-06,9.874268658100644109e-07,1.064395828247070312e+02
1.200000000000000000e+01,2.589361154879595617e+01,5.630812229010104947e-03,2.480926090668669239e-03,3.501700867776586651e-03,2.643773565652431882e-03,1.852198931603528907e-03,1.765305154991703932e-03,1.311667710084536611e-03,8.498293807408349894e-04,5.764280071108823355e-04,3.295524466482672456e-04,2.065241281242001362e-04,1.495425543911175527e-04,8.621982090035258586e-05,5.487672634223423696e-05,2.986699925841419502e-05,1.422375765366938780e-05,7.540628063744686916e-06,3.817334420875263487e-06,2.267278134366677140e-06,2.401981967565072998e-06,1.037146148681640625e+02
1.300000000000000000e+01,2.580950764232910899e+01,1.955846030066136880e-03,3.600628370939044053e-03,2.637318980770947136e-03,2.345119802497055896e-03,1.448579737516308410e-03,1.829413587366499842e-03,1.538340810071611589e-03,8.944961413265349430e-04,5.505066365276426376e-04,3.479471771577199524e-04,2.141301913476620377e-04,1.499211252760123997e-04,8.846650840215666692e-05,4.699789528535593255e-05,2.830416083765117957e-05,1.697762004714418985e-05,9.594435321487988921e-06,4.979371769308121473e-06,2.933113758679399685e-06,1.469150218005622916e-06,1.035795593261718750e+02
1.400000000000000000e+01,2.538839941679159296e+01,5.854602382528007951e-03,4.608156937749951880e-03,6.067548207010376587e-03,3.238953220091061406e-03,3.278822978148936227e-03,2.429353312941456584e-03,1.622277968654559218e-03,1.238229275773691405e-03,8.223596755124153645e-04,4.917168994433420781e-04,2.640144991351850846e-04,1.779137946967873011e-04,8.582746986522978960e-05,4.846195421230974879e-05,2.615700319627385653e-05,1.586727931119646137e-05,8.204136741269816541e-06,4.532896465706140484e-06,2.309042572205856212e-06,1.467296160055667386e-06,1.030152587890625000e+02
1.500000000000000000e+01,2.600679918116816935e+01,5.584459630319155328e-03,4.051732175677099333e-03,4.151877341736102088e-03,4.136655665422299226e-03,2.180935199450327946e-03,2.217067586662031103e-03,1.392325767862908703e-03,1.099969563510515063e-03,7.699917819240229607e-04,4.879187720219818787e-04,3.017172667571155946e-04,1.795265768909087704e-04,1.014222179957430990e-04,5.967010884664925323e-05,2.991986289166919901e-05,1.457769708641938127e-05,7.440839616800917621e-06,4.712058083684229665e-06,2.402642700100711344e-06,1.194912001976124160e-06,1.038491897583007812e+02
1.600000000000000000e+01,1.904035287540813215e+01,6.086338942681035827e-03,2.612592592376399188e-03,3.916445846468561212e-03,2.853982979909552940e-03,2.488837043105005496e-03,1.594621132531012049e-03,1.558820600923061352e-03,9.279553920148417593e-04,7.797341700235251244e-04,4.511224793692551554e-04,3.314177610508816860e-04,1.890675774588311975e-04,1.049433893976357195e-04,6.126450843826277976e-05,3.137447831828541915e-05,1.555564000017018928e-05,7.595275488128662570e-06,4.270553647965170667e-06,2.274540217915243323e-06,1.207649647479427511e-06,9.358482360839843750e+01
