rho
4.614334775775361806e+06
4.194016625817674212e+06
3.692691865936093498e+06
3.078637614559779875e+06
2.582506422872851137e+06
2.013535818681488512e+06
1.490132724059351953e+06
1.063546821828799322e+06
7.267239994780098787e+05
4.797022776008186047e+05
3.052953818226560252e+05
1.859255750714762835e+05
1.701349540719141951e+05
1.471873983950752008e+05
1.212714704012062139e+05
9.882215288297265943e+04
8.167217881006737298e+04
6.832700961834659392e+04
5.672292864055530663e+04
4.688871797426360718e+04
