rho
8.106151759331728099e+05
7.090577818697503535e+05
5.568347241116063669e+05
4.162513876592913293e+05
3.261526139880864066e+05
2.479535968156814342e+05
1.757388729822919704e+05
1.222639684292466409e+05
8.328221645882540906e+04
5.774272358730746055e+04
4.050177913676884782e+04
2.839445146636525897e+04
1.981902126048651917e+04
1.355452367512633100e+04
8.867776932619524814e+03
8.978997269409246655e+03
9.271002781889759717e+03
8.674635819441244166e+03
8.562464095296314554e+03
8.050509610737911316e+03
