i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
1.000000000000000000e+01,1.147933973724068757e+01,0.000000000000000000e+00,4.343906697827932943e-05,4.459045493885956026e-04,2.927109848300611509e-04,4.518042528536561305e-04,1.854696432914625884e-04,1.193302058115203168e-04,1.426011731532997079e-04,9.427961219726398916e-05,8.108020836903978535e-05,5.201509218037890606e-05,4.200334772237607748e-05,2.342312083062609944e-05,1.541709487695600776e-05,9.812616357267362366e-06,5.679267612038817640e-06,3.195999203870126188e-06,1.933974361495360210e-06,1.172573160539767562e-06,6.350877130525578320e-07,1.141421661376953125e+02
1.100000000000000000e+01,3.029729190598153110e+01,2.851795265570579809e-04,5.639426842938336220e-04,4.165312938066843720e-04,3.273959748821314206e-04,3.471902826878187250e-04,3.248796300217492118e-04,2.402513995326828445e-04,2.050836970726041487e-04,1.152507667448452372e-04,6.782306204132063944e-05,4.291787484428221121e-05,2.850354227891449592e-05,1.529373998675514405e-05,1.177818056130492281e-05,8.208490198980079451e-06,5.345586878434754221e-06,3.260397628515209508e-06,2.290106214774176455e-06,1.461401406432582388e-06,6.219179307022914890e-07,1.577421722412109375e+02
1.200000000000000000e+01,2.989344748379716776e+01,2.811823013205602922e-04,3.571983014493356314e-04,2.694533423216033115e-04,2.019354201111017060e-04,2.048147869563287640e-04,2.789253873726683019e-04,2.061535897097223683e-04,1.727745191875588266e-04,1.263328470010905715e-04,7.682240101046091210e-05,4.736048096493075194e-05,3.477105042720984873e-05,2.382881173973623590e-05,1.472532270913290155e-05,1.018253450311187763e-05,6.762872083123614010e-06,3.893079295817264829e-06,2.094537471665486786e-06,1.032851072984248326e-06,5.158107988319192266e-07,1.570302276611328125e+02
1.300000000000000000e+01,1.708893967778066525e+01,4.673531103324990194e-05,2.207880742173030399e-04,1.948518421690738800e-04,3.211271003754981052e-04,3.273862887830438504e-04,2.337342378900650775e-04,2.001761676635571534e-04,1.466417490008335039e-04,1.176185413057497333e-04,7.836608496948080729e-05,5.441212751195935194e-05,4.012598387405047446e-05,2.583275767630832044e-05,1.426529690053465800e-05,8.900025606796676254e-06,4.812623764757642708e-06,2.769958685754946599e-06,1.586759209551323520e-06,1.272150621243175320e-06,7.923221008544292766e-07,1.303363800048828125e+02
1.400000000000000000e+01,1.837025540755828601e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.051436118657261826e-04,2.811213875936309449e-05,1.439147781779434479e-04,1.154114129337227210e-04,1.018001519627342063e-04,8.922936727820664975e-05,5.500222267445573749e-05,3.946711532953560127e-05,2.950291359932581963e-05,2.007962437010478061e-05,1.734437157929674935e-05,1.427216069204769435e-05,8.989390396435759656e-06,6.209751421342043016e-06,3.772205763297768831e-06,2.465811258856236105e-06,1.205722259910194833e-06,7.020686452857035722e-07,1.335047607421875000e+02
1.500000000000000000e+01,2.782377221277461388e+01,2.273325001004668005e-04,1.358524850945285649e-04,3.631137806559589076e-04,2.239422080119394382e-04,3.717742579242958078e-04,2.133137163072359609e-04,1.805040333940822095e-04,1.563421809295437420e-04,1.057002278012571543e-04,8.698196618783386779e-05,5.715153885245605929e-05,3.621419791187662087e-05,2.750391804405478527e-05,1.359624034850108075e-05,8.199794588829563839e-06,5.590444016967039179e-06,3.126665946470996049e-06,2.137809089585020597e-06,1.202340311014379147e-06,6.216575269214996320e-07,1.533360137939453125e+02
1.600000000000000000e+01,2.651946117279808490e+01,5.835861305373992689e-05,9.732286809106997587e-05,1.436347778578855395e-04,1.675055679593804301e-04,1.794024923878582436e-04,1.589519700393627764e-04,1.877785506636223567e-04,1.233117256892375148e-04,1.037575022977345774e-04,7.155238038223912984e-05,4.384226611757864139e-05,3.078844554230662518e-05,2.311015191116009429e-05,1.399983548316498111e-05,8.177741413572574633e-06,5.188320335030706338e-06,3.347862401585171061e-06,1.860810568764786942e-06,1.373241704956554010e-06,7.173563729380515419e-07,1.508952331542968750e+02
1.700000000000000000e+01,2.806327057901136257e+01,3.655353357523804365e-04,1.129381571246586974e-04,2.523358137394742027e-04,3.437331800065674152e-04,3.277463793356339924e-04,2.787993743428164952e-04,2.864399427056514287e-04,1.822104661150230763e-04,1.645803648391080346e-04,9.520312390524907401e-05,7.290062206296285053e-05,4.254902451724542045e-05,2.711115567469518585e-05,1.494387099746139315e-05,9.296333540951509750e-06,6.379801593776013947e-06,3.488613761478876628e-06,2.059970396876312702e-06,1.039442034607501309e-06,4.555770442400606561e-07,1.537863464355468750e+02
1.800000000000000000e+01,3.320310088853779007e+01,7.621869982452557542e-04,3.704368322640281229e-05,1.850118385498415513e-04,1.247944942375210653e-04,1.109714638102810399e-04,1.995539052621342888e-04,1.727029934157080129e-04,1.289531405220143367e-04,1.113569561509743640e-04,8.423042706494911723e-05,6.151108528969800762e-05,3.472964158653271363e-05,2.120970155900385635e-05,1.511985262236596159e-05,1.129016733584926881e-05,8.118104011434237031e-06,3.943456996324611703e-06,2.046737786930176310e-06,9.219754928004529712e-07,4.681503484276587939e-07,1.626288146972656250e+02
1.900000000000000000e+01,2.903047952712014990e+01,1.727124780635076674e-04,3.680347586847992230e-04,5.560664524097322066e-04,4.067050992888100193e-04,3.426685624533680257e-04,2.810830789800195244e-04,2.162740791018740816e-04,1.891672216531278860e-04,1.576927358312033359e-04,9.390545614837851238e-05,5.919083035466989783e-05,3.808017582429009231e-05,2.431732672133995576e-05,1.588278936262352547e-05,9.480735034279006251e-06,6.198083461840167784e-06,3.452454263909905431e-06,1.845087873737121185e-06,1.045105785912850877e-06,5.778288762286016250e-07,1.555150451660156250e+02
2.000000000000000000e+01,3.053008695344979273e+01,2.071371664912939018e-04,3.365233314015726100e-04,3.352327704878528590e-04,3.609191691652336516e-04,3.612387191554123581e-04,2.628086348548125005e-04,1.959216475045910113e-04,1.525836099732596725e-04,1.194165959088419349e-04,7.993716433608460709e-05,4.576818698400632161e-05,3.762131476761161115e-05,2.351164994192998301e-05,1.825427923295669483e-05,1.291436902328024799e-05,6.837379825459473808e-06,3.402231626698369733e-06,1.787352520980633717e-06,1.025954210021429640e-06,5.035303198006552486e-07,1.581655883789062500e+02
2.100000000000000000e+01,1.672589868480323361e+01,3.781998611678757949e-04,4.707922469218863001e-04,9.000933065856740604e-05,2.230475025252828141e-04,3.391824151535215246e-04,2.091076248075618513e-04,1.621950977682390220e-04,1.357813650744539775e-04,1.197077999403196435e-04,9.062438132674058831e-05,7.129522892252483114e-05,3.898333060109673316e-05,2.330945720582440516e-05,1.167736707474875933e-05,7.659039885777012556e-06,5.316491124771125491e-06,3.228950314679385956e-06,1.980429165000266757e-06,1.195931584507756512e-06,7.093305501174161269e-07,1.294069366455078125e+02
2.200000000000000000e+01,1.287347056773339915e+01,0.000000000000000000e+00,1.081501934726000281e-03,2.972807904619916789e-04,2.543140404382936148e-04,2.232040192282263105e-04,1.800799083741081732e-04,1.936760123443835113e-04,1.383837769328140972e-04,1.269740796772821545e-04,9.120419613622469620e-05,5.618793986139559489e-05,3.415645483297225269e-05,2.565646728538154147e-05,1.371401323454011633e-05,7.885984463479571037e-06,5.632382704754479777e-06,3.284188926572978082e-06,1.828279039850283878e-06,1.163306244839136839e-06,7.204816722300716521e-07,1.185999603271484375e+02
2.300000000000000000e+01,3.042040457302568157e+01,5.195106049417101603e-04,8.062661486337235829e-05,2.233275977908312927e-04,4.518430967385420939e-04,4.192181951096589625e-04,3.359745145630233811e-04,3.570480377214947112e-04,2.520562991833076453e-04,1.409748745669340999e-04,1.015948408607808150e-04,6.171641878693784355e-05,3.257398336571028696e-05,2.230523421543512637e-05,1.306512915724713738e-05,1.000733699109271276e-05,4.636249820277553701e-06,2.925376142062492862e-06,1.804081587232979832e-06,1.160652346306967381e-06,7.197079382688574309e-07,1.579575958251953125e+02
2.400000000000000000e+01,3.123358217998118747e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.099768190770040410e-05,4.857712270727408270e-05,6.744054364578541704e-05,8.191430858306310281e-05,5.874516901367806738e-05,5.454127005550676394e-05,4.447314827008078944e-05,2.698042857863629048e-05,2.620106371894023839e-05,2.030693105527952682e-05,1.569702470215295366e-05,1.047257823025033330e-05,5.807844476835163139e-06,4.236129438052833933e-06,2.742532301854163023e-06,1.328762803288060181e-06,4.367398362564021332e-07,1.593521270751953125e+02
2.500000000000000000e+01,3.145952744752277397e+01,2.612235505161918667e-04,4.712174134489897372e-04,3.065234039747090507e-04,4.033611894386374412e-04,4.783298254438196812e-04,3.265957144548045079e-04,2.021226775306015017e-04,1.776151068730316912e-04,1.294233873619056918e-04,8.968847078751883168e-05,4.910186004125751340e-05,3.355306285385042242e-05,1.984967822515788861e-05,1.556955181590957213e-05,1.102161509299099950e-05,6.945629817362732644e-06,3.325271885431458392e-06,1.741363813303237886e-06,1.090044096400845446e-06,5.971438601446202201e-07,1.597410736083984375e+02
2.600000000000000000e+01,2.801978088592925786e+01,5.586933137614077775e-04,6.274418248737109608e-04,6.135194845457729498e-04,6.478889956619562039e-04,3.473083915221213667e-04,2.741084984090398548e-04,2.424177493998397976e-04,2.417899648190543333e-04,1.714568308711223712e-04,1.199202503395902886e-04,7.154093087664414180e-05,4.283971173737933407e-05,2.263042010189649899e-05,1.385638127893526082e-05,8.058577727462975935e-06,4.960228972565137865e-06,3.266523527331087272e-06,1.705581188410185629e-06,1.100710468111237625e-06,6.781459959822469324e-07,1.536896972656250000e+02
2.700000000000000000e+01,1.503207735457470484e+01,8.185684395451672856e-05,2.600357571214076012e-04,1.783438498976725806e-04,1.303820910589775913e-04,1.341608700874576251e-04,2.184383040822702939e-04,2.070406307835583038e-04,1.272881496236985815e-04,1.293014717883956102e-04,8.635818025403475026e-05,5.608182181898856025e-05,4.156326713949654695e-05,2.785983802963098560e-05,1.635483439394602931e-05,9.530644758382445338e-06,4.971117407873847335e-06,3.240185874026065024e-06,1.930028956630342599e-06,1.134971481610170272e-06,6.271958893266908879e-07,1.248865661621093750e+02
2.800000000000000000e+01,2.922257346866035377e+01,2.677183742064695362e-04,2.055683547813380368e-04,1.488838014511350487e-04,2.161007751394274383e-04,3.257959237813233891e-04,2.136405290198316244e-04,1.698430448468377573e-04,1.303160257512823224e-04,1.088707553446597643e-04,6.865447564267301774e-05,5.366628286915261863e-05,3.889205377200726616e-05,2.749212288084647618e-05,1.503166897871225341e-05,7.679677303511926246e-06,4.579526437047325450e-06,2.670815590002555843e-06,1.867241448001449586e-06,1.383599731770484626e-06,7.385720505878735295e-07,1.558493652343750000e+02
2.900000000000000000e+01,2.862138602570908219e+01,5.139467702931436576e-04,2.686848402830785149e-04,2.644107417827632769e-04,2.628167736546246024e-04,2.671241336638955298e-04,1.912777779749496579e-04,1.959285867172326306e-04,1.558492318649205518e-04,1.135224278010922143e-04,9.577527294282851898e-05,5.994382247163193670e-05,4.040882069018122226e-05,1.989896840493469803e-05,1.236187421904604041e-05,7.951214176129814537e-06,5.375161179149989742e-06,3.199602836451653586e-06,1.831137960233385935e-06,1.233424447153529143e-06,7.425624353041112899e-07,1.547839050292968750e+02
3.000000000000000000e+01,2.514107203991462569e+01,6.751411967650928049e-05,4.761136820729368270e-04,7.818975133574190047e-04,8.175756114338700786e-04,8.495178036846272492e-04,5.044992134961233908e-04,4.482505455084860656e-04,2.918248304420208031e-04,1.733620382377411642e-04,1.005588519271667056e-04,6.480698172254123468e-05,4.155362742091153077e-05,2.723401988961388214e-05,1.531129333213793021e-05,9.359150530980050171e-06,5.487314500979082463e-06,3.137857270456440073e-06,1.926008716674455199e-06,9.884992017065418432e-07,5.263532042320713844e-07,1.482413940429687500e+02
3.100000000000000000e+01,2.734846191360186651e+01,1.484215479588710208e-04,2.594590141749053059e-04,3.580399843947741287e-04,2.542797679136257500e-04,3.167169587255014209e-04,2.392044131506914154e-04,2.309308866902254342e-04,1.619120822839702504e-04,1.079803613357214684e-04,8.143929403640399372e-05,4.372514987966985843e-05,3.224443169029224198e-05,2.083323643546239359e-05,1.153991349432489417e-05,7.732628825138495118e-06,4.925609678383635266e-06,3.647203494400617961e-06,2.005671942138423173e-06,1.197186581226758000e-06,7.732681315869399249e-07,1.524510955810546875e+02
3.200000000000000000e+01,1.735375212757168839e+01,0.000000000000000000e+00,4.463431786626799523e-05,3.045315543472699939e-04,2.592567056804066599e-04,1.923760714963847565e-04,2.527748296547134088e-04,1.540872546524586697e-04,1.188807573113160069e-04,1.103817306803351380e-04,8.543667222004954907e-05,5.875826488028347398e-05,3.463522910612420503e-05,1.847842141292532943e-05,1.270167458431946441e-05,7.271851158005903669e-06,4.482202883012464537e-06,3.433605115647470781e-06,2.288987392502294800e-06,1.280524576622242537e-06,7.115311871130156198e-07,1.309905700683593750e+02
3.300000000000000000e+01,2.101475173712827882e+01,3.010749175688170131e-04,0.000000000000000000e+00,1.861621551857713217e-04,1.910816193067552745e-04,1.236645790677597806e-04,1.922041228323495077e-04,1.576220823071414927e-04,1.454954658762026756e-04,8.341277528515312701e-05,5.427972544173930645e-05,3.342825516511356560e-05,2.887618409282961633e-05,1.811633904534345042e-05,1.180284789743981031e-05,7.575572162995147213e-06,4.395614369404269163e-06,3.205657569069592858e-06,2.248386438206421586e-06,1.354000898475813508e-06,8.446015375221746323e-07,1.396282043457031250e+02
3.400000000000000000e+01,2.742049931566948473e+01,7.085212516748816067e-04,6.819485745457062962e-04,4.025498765108407803e-04,3.510768399071540510e-04,3.688939518439649954e-04,2.658924682675256070e-04,1.856772976253788282e-04,1.352943666719014692e-04,8.808297286541237657e-05,7.150031590963221064e-05,4.053447961895244534e-05,2.508051050178913033e-05,1.716533307972916835e-05,1.181073755081830869e-05,9.888880379418357584e-06,7.004427178165625780e-06,3.457113191256148269e-06,1.982851309186552212e-06,1.367655343261961192e-06,6.029403549590110584e-07,1.525738983154296875e+02
3.500000000000000000e+01,2.680382088296740051e+01,3.689860181544173893e-04,2.182641211143522401e-04,3.249945605965580517e-04,2.855576939025058526e-04,2.028356770174737176e-04,2.411534115499068380e-04,1.885733554862788262e-04,9.993229571230416279e-05,1.043614071159472358e-04,5.470825621814825231e-05,4.249378472450864128e-05,2.857489366969801487e-05,1.807820380470328956e-05,1.272206097975687787e-05,8.633695328584567948e-06,5.620830729908771925e-06,3.478128069910333268e-06,2.294701283140583669e-06,1.330096705396726083e-06,6.561217777587836175e-07,1.514252777099609375e+02
3.600000000000000000e+01,3.046235817532363299e+01,9.925402683651508829e-05,1.247385926365455209e-04,3.299476712497841405e-04,2.059396030033761624e-04,3.052643218809614157e-04,2.270172414729347316e-04,2.008203091289198819e-04,1.674954785888475156e-04,1.200938612597474972e-04,8.927378613847170008e-05,7.317570088458641528e-05,4.987172592793553803e-05,2.735274960976183809e-05,1.428997664195109671e-05,8.886766464763305102e-06,4.951106423934247718e-06,3.030772348511383775e-06,1.963969292642565284e-06,1.234195645293467858e-06,5.721878064276959716e-07,1.580223693847656250e+02
3.700000000000000000e+01,2.543167537097060915e+01,0.000000000000000000e+00,4.004151487969102256e-04,5.549419205727360808e-04,2.337444590703709950e-04,2.709573088958782240e-04,2.698712720686782742e-04,3.526045862260529583e-04,3.151731629997897989e-04,2.661025014411117179e-04,1.674755859709334694e-04,1.041378818570927570e-04,5.396482939565045990e-05,3.123636755752548950e-05,1.697862132491714040e-05,1.035342586274325516e-05,5.683224307710268723e-06,2.903778212206246380e-06,1.647231798242806042e-06,7.675121763846317062e-07,4.433542905279515139e-07,1.488199768066406250e+02
3.800000000000000000e+01,1.886601991455112071e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.861547265275349176e-04,1.223991002152279939e-04,8.636120684200989165e-05,1.449259878063661490e-04,1.216084764332622456e-04,1.128463931474562101e-04,7.707403070331875401e-05,6.432275269295968927e-05,3.865474272406574141e-05,2.367913334205582967e-05,1.870228694981870864e-05,1.101802697586676154e-05,7.208668509136043782e-06,4.965522913577065484e-06,3.705962249175957045e-06,2.497121537590847276e-06,1.302762680234228943e-06,7.492965159870135363e-07,1.347084960937500000e+02
3.900000000000000000e+01,2.763607565944811739e+01,3.256732658667837722e-05,3.515131566345525171e-04,3.169620884020883352e-04,1.080821424135889914e-04,3.093274890723941026e-04,2.600505910102173337e-04,2.015868352904736879e-04,1.472482857941545878e-04,9.594486934162242675e-05,7.553779663172872840e-05,4.748995076560717289e-05,3.312857504570039367e-05,1.895805832216492496e-05,1.395650978072719009e-05,9.552084565587902921e-06,5.105408556115400170e-06,3.355852014338914105e-06,2.127742651450236341e-06,1.194553111084819995e-06,6.976712935179852691e-07,1.529885253906250000e+02
4.000000000000000000e+01,2.996658787638533994e+01,2.413377189647037682e-04,4.666229038754129174e-04,3.544204534601476712e-04,4.376920779059157102e-04,3.101958321180767891e-04,2.779398939555030438e-04,1.950303789746017896e-04,1.619204227658790213e-04,1.384410851398593806e-04,8.062086852660923142e-05,4.761467160176128676e-05,3.647017416265036746e-05,2.410827036925913664e-05,1.345566769337458613e-05,7.963900920821795652e-06,4.796327964537100563e-06,3.386561009498774735e-06,2.367501924708519749e-06,1.228380292684348457e-06,6.034621602529875445e-07,1.571673583984375000e+02
4.100000000000000000e+01,3.083005022809736317e+01,2.051467328727347658e-04,5.615126045331144316e-05,5.318665082477810804e-04,4.796884996546137776e-04,4.289653799066787173e-04,3.270099026337092173e-04,2.033998217512118041e-04,1.657726259677415467e-04,9.747928061313116744e-05,5.685454940803849480e-05,4.186624411744508507e-05,2.975814786475734628e-05,2.195884182027597881e-05,1.663075367155490510e-05,1.098102454774398692e-05,7.372763131605070509e-06,4.053953921309832466e-06,2.167835675335982973e-06,1.138930340827525313e-06,3.955551636217594061e-07,1.586754760742187500e+02
4.200000000000000000e+01,2.484276708361309716e+01,5.091872821740736329e-04,2.537838819210198210e-04,4.065111660756923944e-04,3.945767134612270530e-04,3.179969604334307253e-04,3.060238066825519141e-04,2.351642715248970490e-04,2.265816818716253841e-04,1.508678239053272679e-04,9.050551556286319575e-05,4.708167510590050275e-05,3.002998573866976016e-05,2.105044228815659284e-05,1.373045140361535936e-05,9.727670632476421552e-06,5.423747815695883908e-06,3.785888965945100866e-06,2.042025410426406710e-06,1.074847516537567616e-06,6.235014991932341319e-07,1.476552276611328125e+02
4.300000000000000000e+01,2.987027505721037812e+01,7.669515579603503226e-04,4.521665091278867076e-04,3.927427763269406816e-04,5.343978036217105583e-04,5.551706085683500227e-04,3.496606881680598732e-04,3.465261852078598947e-04,2.250803725982964342e-04,2.101977890052620518e-04,1.498245332565651604e-04,9.359486557948353512e-05,5.309184475557774877e-05,3.114983684567014201e-05,1.899619960678365283e-05,1.038215114871647777e-05,5.346883139529030028e-06,2.655917346024965750e-06,1.481048941317933460e-06,8.325918625635475345e-07,5.477918646684413399e-07,1.570074462890625000e+02
4.400000000000000000e+01,3.133624543774759275e+01,2.546269850659857968e-04,4.243502510744108155e-04,2.191467693354253680e-04,2.942278615888330347e-04,1.314276907253989022e-04,1.292237343878186839e-04,1.209530310499152487e-04,1.087800499114569106e-04,8.507565942400802767e-05,8.076727600323860951e-05,5.509012045859987798e-05,3.776884486100182532e-05,2.536292927305556163e-05,1.490772546718081164e-05,1.062237298113361126e-05,6.983665631416466717e-06,3.926298903676891071e-06,2.306776825588706305e-06,9.866347155087379857e-07,4.648267838926150103e-07,1.595227508544921875e+02
4.500000000000000000e+01,2.189205975175075736e+01,4.387345205798269987e-04,5.365862681186604408e-04,9.738919494024259017e-05,4.544852229125835434e-04,3.446116705835801310e-04,2.169763388517776553e-04,1.412563454187272896e-04,1.504562732648486942e-04,1.126799280945959907e-04,8.603175544017485589e-05,5.881627656427201336e-05,3.346944539120936125e-05,1.970292018120339220e-05,1.399475551820824563e-05,8.017799015044609886e-06,4.595521411068418387e-06,3.329545805255535105e-06,1.936056933937113556e-06,1.409165381489116725e-06,6.756842839369141525e-07,1.415602416992187500e+02
4.600000000000000000e+01,3.016312183269705116e+01,8.026808444194260444e-04,4.413988739708972443e-04,6.950745371579408012e-04,7.293157518283314902e-04,5.121829484868176477e-04,5.184762302900599445e-04,3.859632901161781150e-04,2.423341569177547242e-04,1.599358488808248920e-04,1.140968968820128848e-04,6.657366433452395732e-05,4.026665119056371524e-05,2.552250923222539508e-05,1.540661879447303677e-05,9.111091220954272208e-06,5.249840515534340378e-06,3.178145856088168523e-06,1.738103819450124018e-06,1.040501246127923257e-06,6.035854414599624481e-07,1.575100555419921875e+02
4.700000000000000000e+01,3.064846216911338672e+01,1.771333932298814907e-04,8.748712057749139740e-04,2.605171303841631960e-04,4.100752764117573403e-04,3.241521996325346473e-04,2.806628917303876009e-04,2.940600805956691496e-04,1.752080464613547494e-04,1.262361871692895096e-04,7.461788128842592371e-05,4.992464888929889284e-05,3.451810504980951945e-05,2.209865779195912055e-05,1.260261523709645286e-05,8.453486105257062145e-06,5.866134846887933656e-06,4.424184125600461487e-06,2.027590196888034301e-06,1.213648491041943110e-06,5.112954338453739629e-07,1.583412933349609375e+02
4.800000000000000000e+01,2.133773641419666589e+01,2.804795965939881151e-04,3.729224573438404567e-04,4.744672613397835905e-04,5.954212879619365803e-04,3.672070783176242868e-04,3.902547868965935474e-04,3.082377667563601696e-04,2.031028979452633733e-04,1.501949747609018294e-04,8.391487293794703509e-05,5.948339583013539217e-05,4.724677242727207517e-05,3.586069430024580097e-05,1.842433108255257701e-05,1.007317540351019610e-05,6.138930712773948637e-06,3.509791919095324092e-06,1.875731488108205891e-06,8.894589305482596592e-07,4.449849173184807889e-07,1.403511810302734375e+02
