rho
1.920782154620925940e+04
2.474289455226295468e+04
2.972868325512722004e+04
3.318855937807499868e+04
3.444924504688423622e+04
3.371835597090007650e+04
3.043230007423907227e+04
2.750957048241419034e+04
2.581651063443243402e+04
2.377945927261943143e+04
2.216122563371416618e+04
2.122171989547189514e+04
2.025882341971258211e+04
2.863863880043924291e+04
4.048239571470095689e+04
6.086012303336650803e+04
8.594815518575016176e+04
1.185350824976613512e+05
1.503856377528857847e+05
1.742402147179342574e+05
